true_class_index,true_species_name,predicted_class_index,predicted_species_name,count
166,Melanitta perspicillata,165,Melanitta deglandi,5
203,Petrochelidon pyrrhonota,202,Hirundo neoxena,5
496,Dryopteris carthusiana,494,Athyrium filix-femina,5
175,Arenaria melanocephala,177,Calidris virgata,4
455,Nymphaea alba,456,Nymphaea odorata,4
456,Nymphaea odorata,455,Nymphaea alba,4
5,Neriene radiata,6,Leucauge argyra,3
94,Macrurocampa marthesia,88,Ichneutica mutans,3
122,Stagmomantis carolina,121,Pseudomantis albofimbriata,3
138,Mermiria bivittata,136,Chrysochraon dispar,3
158,Accipiter trivirgatus,160,Chondrohierax uncinatus,3
187,Falco mexicanus,163,Haliastur indus,3
220,Setophaga virens,219,Setophaga dominica,3
234,Vireo huttoni,228,Empidonax occidentalis,3
246,Strix aluco,247,Tyto alba,3
258,Myocastor coypus,257,Ondatra zibethicus,3
265,Masticophis mentovarius,266,Regina septemvittata,3
379,Herniaria glabra,463,Ceratocephala testiculata,3
398,Gilia stellata,346,Cyanthillium cinereum,3
431,Lindera benzoin,389,Staphylea trifolia,3
480,Acer macrophyllum,481,Acer pseudoplatanus,3
488,Vitis riparia,481,Acer pseudoplatanus,3
495,Pteridium aquilinum,496,Dryopteris carthusiana,3
0,Aculepeira ceropegia,1,Araneus diadematus,2
1,Araneus diadematus,2,Eriophora ravilla,2
6,Leucauge argyra,5,Neriene radiata,2
13,Cycloneda sanguinea,24,Cercopis vulnerata,2
22,Hyalymenus tarsatus,15,Macrodactylus subspinosus,2
28,Phymata americana,363,Verbesina encelioides,2
30,Bombus fervidus,16,Trichiotinus texanus,2
33,Amphibolips confluenta,465,Celtis reticulata,2
52,Mocis latipes,51,Hypena madefactalis,2
56,Spilosoma virginica,83,Megalopyge opercularis,2
79,Polyommatus coridon,82,Strymon istapa,2
80,Satyrium edwardsii,81,Satyrium liparops,2
84,Autographa gamma,38,Polistes chinensis,2
98,Asterocampa clyton,99,Boloria chariclea,2
110,Abaeis nicippe,112,Mylothris agathina,2
120,Syricoris lacunana,87,Deltote pygarga,2
135,Tachopteryx thoreyi,127,Stylogomphus albistylus,2
136,Chrysochraon dispar,137,Leptysma marginicollis,2
136,Chrysochraon dispar,138,Mermiria bivittata,2
142,Anabrus simplex,139,Gryllus campestris,2
143,Neoconocephalus triops,137,Leptysma marginicollis,2
144,Cerastipsocus venosus,5,Neriene radiata,2
148,Lepomis gulosus,150,Oncorhynchus mykiss,2
157,Accipiter nisus,199,Nucifraga caryocatactes,2
160,Chondrohierax uncinatus,199,Nucifraga caryocatactes,2
161,Circus approximans,159,Aquila chrysaetos,2
161,Circus approximans,163,Haliastur indus,2
