true_class_index,true_species_name,predicted_class_index,predicted_species_name,count
122,Stagmomantis carolina,121,Pseudomantis albofimbriata,5
455,Nymphaea alba,456,Nymphaea odorata,5
5,Neriene radiata,6,Leucauge argyra,4
203,Petrochelidon pyrrhonota,202,Hirundo neoxena,4
496,Dryopteris carthusiana,494,Athyrium filix-femina,4
110,Abaeis nicippe,112,Mylothris agathina,3
166,Melanitta perspicillata,165,Melanitta deglandi,3
175,Arenaria melanocephala,177,Calidris virgata,3
178,Phalaropus fulicarius,176,Calidris canutus,3
234,Vireo huttoni,228,Empidonax occidentalis,3
318,Pontederia cordata,420,Agastache foeniculum,3
331,Angelica capitellata,385,Eriogonum fasciculatum,3
496,Dryopteris carthusiana,497,Dryopteris cristata,3
2,Eriophora ravilla,27,Peribalus strictus,2
6,Leucauge argyra,5,Neriene radiata,2
14,Anthrenus verbasci,166,Melanitta perspicillata,2
22,Hyalymenus tarsatus,34,Camponotus sericeiventris,2
25,Melacoryphus lateralis,38,Polistes chinensis,2
37,Pachodynerus erynnis,470,Rhaphiolepis indica,2
43,Pyrausta tyralis,24,Cercopis vulnerata,2
49,Catocala ilia,87,Deltote pygarga,2
52,Mocis latipes,51,Hypena madefactalis,2
56,Spilosoma virginica,112,Mylothris agathina,2
61,Campaea perlata,41,Palpita vitrealis,2
69,Phrissogonus laticostata,87,Deltote pygarga,2
80,Satyrium edwardsii,409,Asclepias curassavica,2
90,Orthosia gothica,88,Ichneutica mutans,2
90,Orthosia gothica,94,Macrurocampa marthesia,2
94,Macrurocampa marthesia,88,Ichneutica mutans,2
102,Danaus plexippus,21,Spilomyia longicornis,2
115,Hamearis lucina,99,Boloria chariclea,2
135,Tachopteryx thoreyi,127,Stylogomphus albistylus,2
136,Chrysochraon dispar,138,Mermiria bivittata,2
138,Mermiria bivittata,136,Chrysochraon dispar,2
139,Gryllus campestris,17,Necrophila americana,2
140,Gryllus pennsylvanicus,34,Camponotus sericeiventris,2
140,Gryllus pennsylvanicus,139,Gryllus campestris,2
144,Cerastipsocus venosus,20,Mydas clavatus,2
155,Rana draytonii,269,Phrynosoma hernandesi,2
157,Accipiter nisus,175,Arenaria melanocephala,2
158,Accipiter trivirgatus,160,Chondrohierax uncinatus,2
159,Aquila chrysaetos,170,Sarcoramphus papa,2
165,Melanitta deglandi,166,Melanitta perspicillata,2
177,Calidris virgata,175,Arenaria melanocephala,2
179,Tringa melanoleuca,178,Phalaropus fulicarius,2
180,Anastomus oscitans,164,Branta leucopsis,2
183,Patagioenas cayennensis,239,Nycticorax nycticorax,2
187,Falco mexicanus,156,Accipiter badius,2
187,Falco mexicanus,163,Haliastur indus,2
190,Gavia stellata,165,Melanitta deglandi,2
