epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.01,0.009979871469976196,2.0444326343536376,0.50375,2.236960934448242,0.4746,0.4670912130550133,59.16680383682251
2,0.009979871469976196,0.009919647942993149,1.4511628049850465,0.63715,2.1054566473007204,0.5022,0.49568171912454123,51.13839912414551
3,0.009919647942993149,0.009819814303479267,1.1230745321273803,0.72105,2.02273504486084,0.5304,0.5224186748476022,42.38465762138367
4,0.009819814303479267,0.009681174353198688,0.8823386155605316,0.7825,1.9519249660491944,0.539,0.5375493462109546,75.47779178619385
5,0.009681174353198688,0.009504844339512097,0.6956575469017029,0.8305,1.9632566402435303,0.5446,0.5386495838923342,76.10137677192688
6,0.009504844339512097,0.009292243968009333,0.5676752950429916,0.8684,1.9423924486160278,0.5572,0.5535345765584846,77.19195103645325
7,0.009292243968009333,0.009045084971874739,0.44982739927768706,0.9014,1.9320227394104004,0.559,0.5545527981307382,77.37752485275269
8,0.009045084971874739,0.008765357330018058,0.36224709136486055,0.92325,1.9550527963638307,0.5618,0.5586891898555689,76.45302152633667
9,0.008765357330018058,0.008455313244934325,0.3034174679517746,0.9413,1.9259754098892212,0.5606,0.5583930758325145,76.43322205543518
10,0.008455313244934325,0.008117449009293669,0.2405711381793022,0.9591,1.8886755031585694,0.5734,0.5703302149581277,57.345378160476685
11,0.008117449009293669,0.007754484907260513,0.1967169479727745,0.97045,1.8706148223876953,0.5756,0.5724494497215482,41.10244584083557
12,0.007754484907260513,0.007369343312364994,0.16164071970582009,0.9805,1.8422921209335328,0.5802,0.5754472688944481,41.763975858688354
13,0.007369343312364994,0.006965125158269619,0.13112490842938423,0.9868,1.8212246223449706,0.5852,0.5815041818044077,59.094343423843384
14,0.006965125158269619,0.006545084971874737,0.11121549108028411,0.99055,1.8175189754486083,0.5882,0.5837194908203543,75.56477952003479
15,0.006545084971874737,0.006112604669781572,0.09967994429171086,0.9926,1.7977599475860595,0.5932,0.5891685050356767,76.36768054962158
16,0.006112604669781572,0.005671166329088278,0.08625872719287872,0.99485,1.7665672946929931,0.6012,0.5967029057569632,76.384197473526
17,0.005671166329088278,0.005224324151752576,0.07698257049322128,0.9963,1.7468698421478273,0.6034,0.5983907117562487,75.48718237876892
18,0.005224324151752576,0.004775675848247426,0.0692584747672081,0.99705,1.7481224952697754,0.6054,0.6011932598987202,76.39081001281738
19,0.004775675848247426,0.0043288336709117236,0.06357729761004448,0.99855,1.7302346417427064,0.6068,0.6012420029309987,74.15004801750183
20,0.0043288336709117236,0.0038873953302184286,0.06014455887079239,0.9982,1.7196193210601807,0.6032,0.5976332181063504,41.86178994178772
