epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.01,0.009890738003669028,2.1894557415008546,0.543,2.2059805625915527,0.502,0.492251250308203,93.09063005447388
2,0.009890738003669028,0.009567727288213004,1.6697630481719972,0.6418,1.9998979232788086,0.5428,0.5346690333271574,79.35499739646912
3,0.009567727288213004,0.009045084971874737,1.3723402645111085,0.70895,1.8944006477355957,0.5642,0.5587661810555878,79.41076850891113
4,0.009045084971874737,0.008345653031794291,1.1532075284957886,0.76195,1.8272655639648439,0.5696,0.5651172226456805,78.97535419464111
5,0.008345653031794291,0.0075,0.9734344608306885,0.8057,1.788450535583496,0.5776,0.5745347577933957,78.89383435249329
6,0.0075,0.006545084971874737,0.8362747871398926,0.8401,1.7629680019378662,0.5834,0.5820123770693454,79.84295058250427
7,0.006545084971874737,0.005522642316338268,0.7115522022247315,0.87535,1.7344883247375489,0.5854,0.5817850368095239,79.39729261398315
8,0.005522642316338268,0.004477357683661734,0.6172852836608886,0.89815,1.7246743072509765,0.5928,0.5905448192262721,77.62485384941101
9,0.004477357683661734,0.003454915028125264,0.5372505464553833,0.9193,1.707859457397461,0.5994,0.5958706188344072,78.4295425415039
10,0.003454915028125264,0.0025000000000000014,0.4794014452934265,0.9326,1.7036636451721192,0.5978,0.5931902268073047,78.61515688896179
11,0.0025000000000000014,0.0016543469682057106,0.43282247667312623,0.9464,1.6908974586486816,0.5992,0.5941672674029588,78.0688865184784
12,0.0016543469682057106,0.0009549150281252633,0.40102741861343383,0.95415,1.6861742385864258,0.6004,0.5958522092783182,78.07387733459473
13,0.0009549150281252633,0.0004322727117869951,0.38163265914916994,0.96125,1.6835092769622804,0.6028,0.5985720387427623,78.96565198898315
14,0.0004322727117869951,0.00010926199633097157,0.3661500468254089,0.9629,1.6803216800689698,0.6022,0.5989150105993974,63.61378455162048
15,0.00010926199633097157,0.0,0.36295303268432616,0.9634,1.6804888359069825,0.601,0.5973987775233145,41.02380394935608
