true_class_index,true_species_name,predicted_class_index,predicted_species_name,count
5,Neriene radiata,6,Leucauge argyra,4
122,Stagmomantis carolina,121,Pseudomantis albofimbriata,4
165,Melanitta deglandi,166,Melanitta perspicillata,4
177,Calidris virgata,175,Arenaria melanocephala,4
203,Petrochelidon pyrrhonota,202,Hirundo neoxena,4
455,Nymphaea alba,456,Nymphaea odorata,4
496,Dryopteris carthusiana,494,Athyrium filix-femina,4
136,Chrysochraon dispar,138,Mermiria bivittata,3
157,Accipiter nisus,156,Accipiter badius,3
175,Arenaria melanocephala,177,Calidris virgata,3
190,Gavia stellata,166,Melanitta perspicillata,3
206,Quiscalus mexicanus,197,Corvus caurinus,3
214,Leptocoma zeylonica,212,Cinnyris jugularis,3
246,Strix aluco,247,Tyto alba,3
347,Dittrichia graveolens,373,Descurainia sophia,3
369,Nemophila heterophylla,429,Veronica scutellata,3
431,Lindera benzoin,389,Staphylea trifolia,3
456,Nymphaea odorata,455,Nymphaea alba,3
494,Athyrium filix-femina,495,Pteridium aquilinum,3
6,Leucauge argyra,5,Neriene radiata,2
17,Necrophila americana,291,Urnula craterium,2
39,Polistes exclamans,271,Tarentola mauritanica,2
49,Catocala ilia,87,Deltote pygarga,2
56,Spilosoma virginica,83,Megalopyge opercularis,2
64,Didymoctenia exsuperata,66,Ectropis crepuscularia,2
66,Ectropis crepuscularia,65,Disclisioprocta stellata,2
68,Idaea degeneraria,86,Cosmia calami,2
69,Phrissogonus laticostata,87,Deltote pygarga,2
78,Parrhasius m-album,80,Satyrium edwardsii,2
79,Polyommatus coridon,82,Strymon istapa,2
84,Autographa gamma,75,Thorybes bathyllus,2
90,Orthosia gothica,88,Ichneutica mutans,2
90,Orthosia gothica,94,Macrurocampa marthesia,2
94,Macrurocampa marthesia,88,Ichneutica mutans,2
104,Junonia lemonias,82,Strymon istapa,2
110,Abaeis nicippe,112,Mylothris agathina,2
115,Hamearis lucina,73,Burnsius communis,2
115,Hamearis lucina,99,Boloria chariclea,2
119,Hyles gallii,121,Pseudomantis albofimbriata,2
130,Orthetrum chrysostigma,131,Pachydiplax longipennis,2
134,Trithemis festiva,131,Pachydiplax longipennis,2
135,Tachopteryx thoreyi,127,Stylogomphus albistylus,2
138,Mermiria bivittata,137,Leptysma marginicollis,2
140,Gryllus pennsylvanicus,139,Gryllus campestris,2
142,Anabrus simplex,139,Gryllus campestris,2
144,Cerastipsocus venosus,20,Mydas clavatus,2
145,Cancer irroratus,286,Megastraea undosa,2
146,Leptuca pugilator,282,Cominella adspersa,2
152,Diodon hystrix,151,Dicotylichthys punctulatus,2
157,Accipiter nisus,158,Accipiter trivirgatus,2
