true_class_index,true_species_name,predicted_class_index,predicted_species_name,count
5,Neriene radiata,6,Leucauge argyra,5
122,Stagmomantis carolina,121,Pseudomantis albofimbriata,5
203,Petrochelidon pyrrhonota,202,Hirundo neoxena,4
455,Nymphaea alba,456,Nymphaea odorata,4
6,Leucauge argyra,5,Neriene radiata,3
17,Necrophila americana,291,Urnula craterium,3
52,Mocis latipes,51,Hypena madefactalis,3
56,Spilosoma virginica,83,Megalopyge opercularis,3
64,Didymoctenia exsuperata,66,Ectropis crepuscularia,3
143,Neoconocephalus triops,137,Leptysma marginicollis,3
162,Elanus axillaris,207,Lanius excubitor,3
177,Calidris virgata,175,Arenaria melanocephala,3
178,Phalaropus fulicarius,176,Calidris canutus,3
206,Quiscalus mexicanus,197,Corvus caurinus,3
215,Lophophanes cristatus,235,Vireo solitarius,3
229,Myiarchus tuberculifer,233,Vireo flavoviridis,3
234,Vireo huttoni,228,Empidonax occidentalis,3
268,Christinus marmoratus,271,Tarentola mauritanica,3
438,Hypericum perforatum,354,Packera obovata,3
495,Pteridium aquilinum,494,Athyrium filix-femina,3
0,Aculepeira ceropegia,1,Araneus diadematus,2
13,Cycloneda sanguinea,24,Cercopis vulnerata,2
38,Polistes chinensis,29,Rasahus hamatus,2
51,Hypena madefactalis,53,Parallelia bistriaris,2
68,Idaea degeneraria,86,Cosmia calami,2
80,Satyrium edwardsii,81,Satyrium liparops,2
80,Satyrium edwardsii,409,Asclepias curassavica,2
81,Satyrium liparops,80,Satyrium edwardsii,2
86,Cosmia calami,40,Euchromius ocellea,2
90,Orthosia gothica,88,Ichneutica mutans,2
90,Orthosia gothica,94,Macrurocampa marthesia,2
93,Psychomorpha epimenis,24,Cercopis vulnerata,2
94,Macrurocampa marthesia,88,Ichneutica mutans,2
97,Anartia fatima,78,Parrhasius m-album,2
110,Abaeis nicippe,112,Mylothris agathina,2
110,Abaeis nicippe,114,Pyrisitia lisa,2
115,Hamearis lucina,75,Thorybes bathyllus,2
115,Hamearis lucina,99,Boloria chariclea,2
127,Stylogomphus albistylus,126,Dromogomphus spoliatus,2
135,Tachopteryx thoreyi,127,Stylogomphus albistylus,2
136,Chrysochraon dispar,138,Mermiria bivittata,2
140,Gryllus pennsylvanicus,139,Gryllus campestris,2
142,Anabrus simplex,141,Tropidacris collaris,2
148,Lepomis gulosus,150,Oncorhynchus mykiss,2
157,Accipiter nisus,158,Accipiter trivirgatus,2
159,Aquila chrysaetos,161,Circus approximans,2
159,Aquila chrysaetos,170,Sarcoramphus papa,2
160,Chondrohierax uncinatus,156,Accipiter badius,2
166,Melanitta perspicillata,165,Melanitta deglandi,2
174,Himantopus mexicanus,173,Himantopus himantopus,2
