true_class_index,true_species_name,predicted_class_index,predicted_species_name,count
5,Neriene radiata,6,Leucauge argyra,4
51,Hypena madefactalis,53,Parallelia bistriaris,4
122,Stagmomantis carolina,121,Pseudomantis albofimbriata,4
175,Arenaria melanocephala,177,Calidris virgata,4
177,Calidris virgata,175,Arenaria melanocephala,4
203,Petrochelidon pyrrhonota,202,Hirundo neoxena,4
469,Agrimonia gryposepala,439,Hypericum punctatum,4
17,Necrophila americana,291,Urnula craterium,3
30,Bombus fervidus,16,Trichiotinus texanus,3
81,Satyrium liparops,80,Satyrium edwardsii,3
110,Abaeis nicippe,112,Mylothris agathina,3
155,Rana draytonii,269,Phrynosoma hernandesi,3
166,Melanitta perspicillata,165,Melanitta deglandi,3
266,Regina septemvittata,262,Dendrelaphis punctulatus,3
374,Lepidium latifolium,335,Torilis japonica,3
455,Nymphaea alba,456,Nymphaea odorata,3
466,Trema orientalis,322,Ripogonum scandens,3
495,Pteridium aquilinum,494,Athyrium filix-femina,3
3,Micrathena mitrata,14,Anthrenus verbasci,2
6,Leucauge argyra,5,Neriene radiata,2
11,Cantharis fusca,25,Melacoryphus lateralis,2
29,Rasahus hamatus,22,Hyalymenus tarsatus,2
37,Pachodynerus erynnis,8,Synema globosum,2
52,Mocis latipes,51,Hypena madefactalis,2
56,Spilosoma virginica,83,Megalopyge opercularis,2
68,Idaea degeneraria,86,Cosmia calami,2
78,Parrhasius m-album,80,Satyrium edwardsii,2
79,Polyommatus coridon,82,Strymon istapa,2
80,Satyrium edwardsii,81,Satyrium liparops,2
82,Strymon istapa,77,Jamides bochus,2
87,Deltote pygarga,120,Syricoris lacunana,2
88,Ichneutica mutans,94,Macrurocampa marthesia,2
90,Orthosia gothica,88,Ichneutica mutans,2
90,Orthosia gothica,94,Macrurocampa marthesia,2
106,Junonia villida,104,Junonia lemonias,2
119,Hyles gallii,121,Pseudomantis albofimbriata,2
127,Stylogomphus albistylus,126,Dromogomphus spoliatus,2
128,Libellula axilena,127,Stylogomphus albistylus,2
129,Orthetrum brunneum,130,Orthetrum chrysostigma,2
134,Trithemis festiva,124,Agriocnemis femina,2
135,Tachopteryx thoreyi,127,Stylogomphus albistylus,2
136,Chrysochraon dispar,137,Leptysma marginicollis,2
136,Chrysochraon dispar,138,Mermiria bivittata,2
138,Mermiria bivittata,136,Chrysochraon dispar,2
143,Neoconocephalus triops,137,Leptysma marginicollis,2
144,Cerastipsocus venosus,5,Neriene radiata,2
148,Lepomis gulosus,150,Oncorhynchus mykiss,2
151,Dicotylichthys punctulatus,152,Diodon hystrix,2
157,Accipiter nisus,156,Accipiter badius,2
157,Accipiter nisus,158,Accipiter trivirgatus,2
