epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.01,0.01,2.0438299033164977,0.49725,2.204135482788086,0.4776,0.47211671736371047,60.58248805999756
2,0.01,0.01,0.9887122338294982,0.75445,2.1087173614501955,0.5142,0.509171730947479,57.59173941612244
3,0.01,0.01,0.44260309938192366,0.9087,2.0224140506744384,0.534,0.5303984184312419,49.92645001411438
4,0.01,0.01,0.163161986464262,0.9795,1.9047712329864501,0.5588,0.5558141198852172,57.81959390640259
5,0.01,0.01,0.057990870249271395,0.9981,1.8040616512298584,0.5834,0.5793402758845291,57.827497720718384
6,0.01,0.01,0.033470462238788606,0.99965,1.7731158668518066,0.5886,0.583469683467886,57.419525146484375
7,0.01,0.01,0.028248944053053855,1.0,1.7602401044845581,0.5884,0.5827001483934966,53.779661417007446
8,0.01,0.01,0.027755297704041004,1.0,1.7667948013305663,0.5908,0.5861179657072618,33.5158793926239
9,0.01,0.01,0.02868266289830208,1.0,1.7811179851531982,0.588,0.58297704049675,43.660919427871704
10,0.01,0.01,0.02903930833041668,1.0,1.7815387382507324,0.5902,0.5829918122646254,55.97757267951965
11,0.01,0.01,0.029999580773711204,1.0,1.7896773418426513,0.588,0.5814192601773708,43.27287030220032
12,0.01,0.01,0.03074468023777008,1.0,1.8006558591842652,0.5872,0.5817461241767756,31.601112604141235
13,0.01,0.01,0.030821985107660294,1.0,1.8144780254364015,0.588,0.5821629808286732,43.25203466415405
14,0.01,0.01,0.030939230307936667,1.0,1.8276861335754395,0.5886,0.5827040083790205,54.79009747505188
15,0.01,0.01,0.031304299008846286,1.0,1.846824037361145,0.59,0.5824054652770986,54.35610556602478
