true_class_index,true_species_name,predicted_class_index,predicted_species_name,count
122,Stagmomantis carolina,121,Pseudomantis albofimbriata,5
455,Nymphaea alba,456,Nymphaea odorata,5
495,Pteridium aquilinum,494,Athyrium filix-femina,4
5,Neriene radiata,6,Leucauge argyra,3
17,Necrophila americana,291,Urnula craterium,3
51,Hypena madefactalis,53,Parallelia bistriaris,3
56,Spilosoma virginica,83,Megalopyge opercularis,3
142,Anabrus simplex,141,Tropidacris collaris,3
162,Elanus axillaris,207,Lanius excubitor,3
180,Anastomus oscitans,164,Branta leucopsis,3
201,Coccothraustes coccothraustes,207,Lanius excubitor,3
203,Petrochelidon pyrrhonota,202,Hirundo neoxena,3
206,Quiscalus mexicanus,197,Corvus caurinus,3
215,Lophophanes cristatus,235,Vireo solitarius,3
234,Vireo huttoni,228,Empidonax occidentalis,3
412,Blackstonia perfoliata,361,Tetraneuris linearifolia,3
428,Veronica arvensis,370,Nemophila menziesii,3
496,Dryopteris carthusiana,497,Dryopteris cristata,3
0,Aculepeira ceropegia,1,Araneus diadematus,2
6,Leucauge argyra,5,Neriene radiata,2
13,Cycloneda sanguinea,24,Cercopis vulnerata,2
25,Melacoryphus lateralis,39,Polistes exclamans,2
38,Polistes chinensis,29,Rasahus hamatus,2
39,Polistes exclamans,12,Plectrodera scalator,2
52,Mocis latipes,51,Hypena madefactalis,2
64,Didymoctenia exsuperata,66,Ectropis crepuscularia,2
68,Idaea degeneraria,86,Cosmia calami,2
78,Parrhasius m-album,80,Satyrium edwardsii,2
88,Ichneutica mutans,94,Macrurocampa marthesia,2
90,Orthosia gothica,94,Macrurocampa marthesia,2
93,Psychomorpha epimenis,24,Cercopis vulnerata,2
94,Macrurocampa marthesia,88,Ichneutica mutans,2
97,Anartia fatima,78,Parrhasius m-album,2
110,Abaeis nicippe,112,Mylothris agathina,2
110,Abaeis nicippe,114,Pyrisitia lisa,2
111,Catopsilia pomona,23,Hormaphis hamamelidis,2
121,Pseudomantis albofimbriata,122,Stagmomantis carolina,2
127,Stylogomphus albistylus,126,Dromogomphus spoliatus,2
128,Libellula axilena,125,Epitheca princeps,2
128,Libellula axilena,127,Stylogomphus albistylus,2
135,Tachopteryx thoreyi,127,Stylogomphus albistylus,2
136,Chrysochraon dispar,137,Leptysma marginicollis,2
136,Chrysochraon dispar,138,Mermiria bivittata,2
143,Neoconocephalus triops,137,Leptysma marginicollis,2
144,Cerastipsocus venosus,140,Gryllus pennsylvanicus,2
145,Cancer irroratus,286,Megastraea undosa,2
148,Lepomis gulosus,150,Oncorhynchus mykiss,2
157,Accipiter nisus,158,Accipiter trivirgatus,2
157,Accipiter nisus,163,Haliastur indus,2
158,Accipiter trivirgatus,160,Chondrohierax uncinatus,2
