true_class_index,true_species_name,predicted_class_index,predicted_species_name,count
7,Latrodectus katipo,93,Psychomorpha epimenis,5
165,Melanitta deglandi,166,Melanitta perspicillata,5
5,Neriene radiata,6,Leucauge argyra,4
55,Sphrageidus similis,11,Cantharis fusca,4
91,Papaipema inquaesita,62,Caripeta piniata,4
134,Trithemis festiva,128,Libellula axilena,4
368,Hackelia virginiana,330,Microstegium vimineum,4
407,Quercus engelmannii,490,Agathis australis,4
13,Cycloneda sanguinea,24,Cercopis vulnerata,3
30,Bombus fervidus,16,Trichiotinus texanus,3
52,Mocis latipes,51,Hypena madefactalis,3
53,Parallelia bistriaris,51,Hypena madefactalis,3
62,Caripeta piniata,85,Callopistria cordata,3
63,Chloroclystis filata,65,Disclisioprocta stellata,3
97,Anartia fatima,401,Erythrina herbacea,3
115,Hamearis lucina,106,Junonia villida,3
130,Orthetrum chrysostigma,126,Dromogomphus spoliatus,3
137,Leptysma marginicollis,136,Chrysochraon dispar,3
172,Sterna hirundo,161,Circus approximans,3
173,Himantopus himantopus,207,Lanius excubitor,3
175,Arenaria melanocephala,177,Calidris virgata,3
186,Caracara plancus,187,Falco mexicanus,3
187,Falco mexicanus,163,Haliastur indus,3
213,Hedydipna collaris,218,Setophaga americana,3
245,Megascops choliba,169,Nyctibius griseus,3
269,Phrynosoma hernandesi,36,Veromessor pergandei,3
296,Psathyrella candolleana,295,Volvopluteus gloiocephalus,3
309,Ruscus aculeatus,482,Ribes speciosum,3
318,Pontederia cordata,420,Agastache foeniculum,3
335,Torilis japonica,360,Symphyotrichum cordifolium,3
339,Achyrachaena mollis,109,Parnassius smintheus,3
347,Dittrichia graveolens,357,Peucephyllum schottii,3
430,Lantana camara,409,Asclepias curassavica,3
438,Hypericum perforatum,402,Genista tinctoria,3
449,Metrosideros excelsa,490,Agathis australis,3
455,Nymphaea alba,456,Nymphaea odorata,3
493,Asplenium appendiculatum,288,Letharia vulpina,3
495,Pteridium aquilinum,494,Athyrium filix-femina,3
3,Micrathena mitrata,5,Neriene radiata,2
6,Leucauge argyra,124,Agriocnemis femina,2
9,Paravaejovis puritanus,269,Phrynosoma hernandesi,2
11,Cantharis fusca,24,Cercopis vulnerata,2
11,Cantharis fusca,264,Lampropeltis gentilis,2
12,Plectrodera scalator,135,Tachopteryx thoreyi,2
13,Cycloneda sanguinea,42,Pyrausta inornatalis,2
14,Anthrenus verbasci,60,Dichomeris flavocostella,2
20,Mydas clavatus,132,Palpopleura lucia,2
21,Spilomyia longicornis,38,Polistes chinensis,2
23,Hormaphis hamamelidis,13,Cycloneda sanguinea,2
24,Cercopis vulnerata,25,Melacoryphus lateralis,2
