class_index,species_name,precision,recall,f1,support,correct_predictions
0,Aculepeira ceropegia,0.2857142857142857,0.4,0.3333333333333333,10,4
1,Araneus diadematus,0.16666666666666666,0.1,0.125,10,1
2,Eriophora ravilla,0.4,0.4,0.4,10,4
3,Micrathena mitrata,0.09090909090909091,0.1,0.09523809523809523,10,1
4,Badumna longinqua,0.2,0.2,0.2,10,2
5,Neriene radiata,0.0,0.0,0.0,10,0
6,Leucauge argyra,0.0,0.0,0.0,10,0
7,Latrodectus katipo,0.2,0.1,0.13333333333333333,10,1
8,Synema globosum,0.2857142857142857,0.2,0.23529411764705882,10,2
9,Paravaejovis puritanus,0.5,0.2,0.2857142857142857,10,2
10,Scolopendra cingulata,0.42857142857142855,0.3,0.35294117647058826,10,3
11,Cantharis fusca,0.16666666666666666,0.2,0.18181818181818182,10,2
12,Plectrodera scalator,0.42857142857142855,0.3,0.35294117647058826,10,3
13,Cycloneda sanguinea,0.14285714285714285,0.1,0.11764705882352941,10,1
14,Anthrenus verbasci,0.1,0.1,0.1,10,1
15,Macrodactylus subspinosus,0.0,0.0,0.0,10,0
16,Trichiotinus texanus,0.08333333333333333,0.1,0.09090909090909091,10,1
17,Necrophila americana,0.14285714285714285,0.1,0.11764705882352941,10,1
18,Nicrophorus vespilloides,0.5,0.6,0.5454545454545454,10,6
19,Xenox tigrinus,0.2631578947368421,0.5,0.3448275862068966,10,5
20,Mydas clavatus,0.0,0.0,0.0,10,0
21,Spilomyia longicornis,0.42857142857142855,0.3,0.35294117647058826,10,3
22,Hyalymenus tarsatus,0.0,0.0,0.0,10,0
23,Hormaphis hamamelidis,0.42857142857142855,0.6,0.5,10,6
24,Cercopis vulnerata,0.38461538461538464,0.5,0.43478260869565216,10,5
25,Melacoryphus lateralis,0.3333333333333333,0.4,0.36363636363636365,10,4
26,Halyomorpha halys,0.0,0.0,0.0,10,0
27,Peribalus strictus,0.14285714285714285,0.1,0.11764705882352941,10,1
28,Phymata americana,0.0,0.0,0.0,10,0
29,Rasahus hamatus,0.625,0.5,0.5555555555555556,10,5
30,Bombus fervidus,0.2,0.1,0.13333333333333333,10,1
31,Xylocopa micans,0.25,0.1,0.14285714285714285,10,1
32,Bicyrtes quadrifasciatus,0.46153846153846156,0.6,0.5217391304347826,10,6
33,Amphibolips confluenta,0.4,0.2,0.26666666666666666,10,2
34,Camponotus sericeiventris,0.0,0.0,0.0,10,0
35,Liometopum occidentale,0.2,0.2,0.2,10,2
36,Veromessor pergandei,0.19230769230769232,0.5,0.2777777777777778,10,5
37,Pachodynerus erynnis,0.0,0.0,0.0,10,0
38,Polistes chinensis,0.15384615384615385,0.2,0.17391304347826086,10,2
39,Polistes exclamans,0.0,0.0,0.0,10,0
40,Euchromius ocellea,0.0,0.0,0.0,10,0
41,Palpita vitrealis,0.38461538461538464,0.5,0.43478260869565216,10,5
42,Pyrausta inornatalis,0.4166666666666667,0.5,0.45454545454545453,10,5
43,Pyrausta tyralis,0.25,0.2,0.2222222222222222,10,2
44,Urola nivalis,0.16,0.4,0.22857142857142856,10,4
45,Oreta rosea,0.5384615384615384,0.7,0.6086956521739131,10,7
46,Thyatira batis,0.2857142857142857,0.2,0.23529411764705882,10,2
47,Allotria elonympha,0.4166666666666667,0.5,0.45454545454545453,10,5
48,Calliteara pudibunda,0.5,0.1,0.16666666666666666,10,1
49,Catocala ilia,0.15384615384615385,0.2,0.17391304347826086,10,2
50,Halysidota harrisii,0.0,0.0,0.0,10,0
51,Hypena madefactalis,0.07142857142857142,0.1,0.08333333333333333,10,1
52,Mocis latipes,0.0,0.0,0.0,10,0
53,Parallelia bistriaris,0.0,0.0,0.0,10,0
54,Plusiodonta compressipalpis,0.125,0.1,0.1111111111111111,10,1
55,Sphrageidus similis,0.0,0.0,0.0,10,0
56,Spilosoma virginica,0.0,0.0,0.0,10,0
57,Utetheisa ornatrix,0.14285714285714285,0.1,0.11764705882352941,10,1
58,Zale horrida,0.5384615384615384,0.7,0.6086956521739131,10,7
59,Zale minerea,0.5,0.4,0.4444444444444444,10,4
60,Dichomeris flavocostella,0.23076923076923078,0.3,0.2608695652173913,10,3
61,Campaea perlata,0.19047619047619047,0.4,0.25806451612903225,10,4
62,Caripeta piniata,0.375,0.6,0.46153846153846156,10,6
63,Chloroclystis filata,0.125,0.1,0.1111111111111111,10,1
64,Didymoctenia exsuperata,0.4375,0.7,0.5384615384615384,10,7
65,Disclisioprocta stellata,0.1875,0.3,0.23076923076923078,10,3
66,Ectropis crepuscularia,0.4117647058823529,0.7,0.5185185185185185,10,7
67,Hyposidra talaca,0.0,0.0,0.0,10,0
