true_class_index,true_species_name,predicted_class_index,predicted_species_name,count
165,Melanitta deglandi,166,Melanitta perspicillata,5
318,Pontederia cordata,420,Agastache foeniculum,5
246,Strix aluco,169,Nyctibius griseus,4
314,Iris versicolor,312,Iris douglasiana,4
455,Nymphaea alba,456,Nymphaea odorata,4
39,Polistes exclamans,38,Polistes chinensis,3
94,Macrurocampa marthesia,88,Ichneutica mutans,3
137,Leptysma marginicollis,136,Chrysochraon dispar,3
148,Lepomis gulosus,150,Oncorhynchus mykiss,3
152,Diodon hystrix,151,Dicotylichthys punctulatus,3
159,Aquila chrysaetos,204,Dives dives,3
190,Gavia stellata,166,Melanitta perspicillata,3
213,Hedydipna collaris,214,Leptocoma zeylonica,3
225,Myadestes townsendi,207,Lanius excubitor,3
245,Megascops choliba,169,Nyctibius griseus,3
267,Cordylus niger,199,Nucifraga caryocatactes,3
269,Phrynosoma hernandesi,36,Veromessor pergandei,3
315,Liparis loeselii,305,Peltandra virginica,3
361,Tetraneuris linearifolia,358,Pityopsis falcata,3
372,Cardamine pratensis,417,Houstonia caerulea,3
389,Staphylea trifolia,399,Symplocos tinctoria,3
412,Blackstonia perfoliata,464,Ranunculus acris,3
437,Hypericum hypericoides,399,Symplocos tinctoria,3
446,Entelea arborescens,337,Schefflera digitata,3
462,Aconitum septentrionale,420,Agastache foeniculum,3
483,Haloragis erecta,386,Muehlenbeckia axillaris,3
496,Dryopteris carthusiana,494,Athyrium filix-femina,3
499,Pellaea glabella,493,Asplenium appendiculatum,3
2,Eriophora ravilla,1,Araneus diadematus,2
3,Micrathena mitrata,39,Polistes exclamans,2
5,Neriene radiata,6,Leucauge argyra,2
7,Latrodectus katipo,93,Psychomorpha epimenis,2
16,Trichiotinus texanus,32,Bicyrtes quadrifasciatus,2
21,Spilomyia longicornis,0,Aculepeira ceropegia,2
22,Hyalymenus tarsatus,15,Macrodactylus subspinosus,2
24,Cercopis vulnerata,25,Melacoryphus lateralis,2
28,Phymata americana,8,Synema globosum,2
31,Xylocopa micans,30,Bombus fervidus,2
32,Bicyrtes quadrifasciatus,131,Pachydiplax longipennis,2
33,Amphibolips confluenta,399,Symplocos tinctoria,2
35,Liometopum occidentale,142,Anabrus simplex,2
40,Euchromius ocellea,68,Idaea degeneraria,2
46,Thyatira batis,4,Badumna longinqua,2
49,Catocala ilia,19,Xenox tigrinus,2
52,Mocis latipes,51,Hypena madefactalis,2
52,Mocis latipes,90,Orthosia gothica,2
54,Plusiodonta compressipalpis,85,Callopistria cordata,2
55,Sphrageidus similis,11,Cantharis fusca,2
55,Sphrageidus similis,44,Urola nivalis,2
60,Dichomeris flavocostella,46,Thyatira batis,2
