true_class_index,true_species_name,predicted_class_index,predicted_species_name,count
165,Melanitta deglandi,166,Melanitta perspicillata,5
257,Ondatra zibethicus,258,Myocastor coypus,4
292,Amanita fulva,296,Psathyrella candolleana,4
318,Pontederia cordata,420,Agastache foeniculum,4
455,Nymphaea alba,456,Nymphaea odorata,4
495,Pteridium aquilinum,494,Athyrium filix-femina,4
5,Neriene radiata,6,Leucauge argyra,3
36,Veromessor pergandei,269,Phrynosoma hernandesi,3
62,Caripeta piniata,85,Callopistria cordata,3
96,Aglais urticae,106,Junonia villida,3
115,Hamearis lucina,106,Junonia villida,3
125,Epitheca princeps,6,Leucauge argyra,3
136,Chrysochraon dispar,138,Mermiria bivittata,3
152,Diodon hystrix,151,Dicotylichthys punctulatus,3
159,Aquila chrysaetos,161,Circus approximans,3
159,Aquila chrysaetos,170,Sarcoramphus papa,3
160,Chondrohierax uncinatus,159,Aquila chrysaetos,3
172,Sterna hirundo,161,Circus approximans,3
175,Arenaria melanocephala,177,Calidris virgata,3
242,Ara ararauna,240,Psilopogon haemacephalus,3
245,Megascops choliba,169,Nyctibius griseus,3
283,Aphelodoris varia,284,Pteraeolidia ianthina,3
295,Volvopluteus gloiocephalus,296,Psathyrella candolleana,3
314,Iris versicolor,312,Iris douglasiana,3
335,Torilis japonica,332,Anthriscus caucalis,3
347,Dittrichia graveolens,373,Descurainia sophia,3
372,Cardamine pratensis,417,Houstonia caerulea,3
389,Staphylea trifolia,399,Symplocos tinctoria,3
413,Gentianella amarella,422,Prunella vulgaris,3
421,Lamium album,380,Silene latifolia,3
444,Hudsonia tomentosa,355,Parthenium incanum,3
446,Entelea arborescens,337,Schefflera digitata,3
448,Rhexia alifanus,447,Sidalcea sparsifolia,3
449,Metrosideros excelsa,490,Agathis australis,3
462,Aconitum septentrionale,420,Agastache foeniculum,3
483,Haloragis erecta,386,Muehlenbeckia axillaris,3
487,Solanum umbelliferum,419,Geranium pratense,3
493,Asplenium appendiculatum,288,Letharia vulpina,3
3,Micrathena mitrata,5,Neriene radiata,2
7,Latrodectus katipo,93,Psychomorpha epimenis,2
13,Cycloneda sanguinea,124,Agriocnemis femina,2
16,Trichiotinus texanus,19,Xenox tigrinus,2
17,Necrophila americana,291,Urnula craterium,2
22,Hyalymenus tarsatus,4,Badumna longinqua,2
22,Hyalymenus tarsatus,15,Macrodactylus subspinosus,2
24,Cercopis vulnerata,25,Melacoryphus lateralis,2
26,Halyomorpha halys,95,Pheosidea elegans,2
28,Phymata americana,21,Spilomyia longicornis,2
29,Rasahus hamatus,18,Nicrophorus vespilloides,2
29,Rasahus hamatus,60,Dichomeris flavocostella,2
