class_index,species_name,precision,recall,f1,support,correct_predictions
0,Aculepeira ceropegia,0.4444444444444444,0.4,0.42105263157894735,10,4
1,Araneus diadematus,0.375,0.3,0.3333333333333333,10,3
2,Eriophora ravilla,0.25,0.4,0.3076923076923077,10,4
3,Micrathena mitrata,0.2222222222222222,0.2,0.21052631578947367,10,2
4,Badumna longinqua,0.16666666666666666,0.2,0.18181818181818182,10,2
5,Neriene radiata,0.14285714285714285,0.1,0.11764705882352941,10,1
6,Leucauge argyra,0.15384615384615385,0.2,0.17391304347826086,10,2
7,Latrodectus katipo,0.0,0.0,0.0,10,0
8,Synema globosum,0.4,0.4,0.4,10,4
9,Paravaejovis puritanus,0.2222222222222222,0.2,0.21052631578947367,10,2
10,Scolopendra cingulata,0.3,0.3,0.3,10,3
11,Cantharis fusca,0.125,0.1,0.1111111111111111,10,1
12,Plectrodera scalator,0.4,0.6,0.48,10,6
13,Cycloneda sanguinea,0.5,0.4,0.4444444444444444,10,4
14,Anthrenus verbasci,0.375,0.3,0.3333333333333333,10,3
15,Macrodactylus subspinosus,0.2727272727272727,0.3,0.2857142857142857,10,3
16,Trichiotinus texanus,0.2,0.2,0.2,10,2
17,Necrophila americana,0.14285714285714285,0.1,0.11764705882352941,10,1
18,Nicrophorus vespilloides,0.5333333333333333,0.8,0.64,10,8
19,Xenox tigrinus,0.25,0.3,0.2727272727272727,10,3
20,Mydas clavatus,0.2,0.1,0.13333333333333333,10,1
21,Spilomyia longicornis,0.6,0.6,0.6,10,6
22,Hyalymenus tarsatus,0.0,0.0,0.0,10,0
23,Hormaphis hamamelidis,0.38461538461538464,0.5,0.43478260869565216,10,5
24,Cercopis vulnerata,0.4375,0.7,0.5384615384615384,10,7
25,Melacoryphus lateralis,0.35714285714285715,0.5,0.4166666666666667,10,5
26,Halyomorpha halys,0.14285714285714285,0.1,0.11764705882352941,10,1
27,Peribalus strictus,0.14285714285714285,0.1,0.11764705882352941,10,1
28,Phymata americana,0.3333333333333333,0.3,0.3157894736842105,10,3
29,Rasahus hamatus,0.4444444444444444,0.4,0.42105263157894735,10,4
30,Bombus fervidus,0.3333333333333333,0.4,0.36363636363636365,10,4
31,Xylocopa micans,0.0,0.0,0.0,10,0
32,Bicyrtes quadrifasciatus,0.5,0.6,0.5454545454545454,10,6
33,Amphibolips confluenta,0.2857142857142857,0.2,0.23529411764705882,10,2
34,Camponotus sericeiventris,0.25,0.2,0.2222222222222222,10,2
35,Liometopum occidentale,0.1111111111111111,0.1,0.10526315789473684,10,1
36,Veromessor pergandei,0.1875,0.3,0.23076923076923078,10,3
37,Pachodynerus erynnis,0.0,0.0,0.0,10,0
38,Polistes chinensis,0.125,0.1,0.1111111111111111,10,1
39,Polistes exclamans,0.0,0.0,0.0,10,0
40,Euchromius ocellea,0.23076923076923078,0.3,0.2608695652173913,10,3
41,Palpita vitrealis,0.38461538461538464,0.5,0.43478260869565216,10,5
42,Pyrausta inornatalis,0.3333333333333333,0.3,0.3157894736842105,10,3
43,Pyrausta tyralis,0.625,0.5,0.5555555555555556,10,5
44,Urola nivalis,0.26666666666666666,0.4,0.32,10,4
45,Oreta rosea,0.5384615384615384,0.7,0.6086956521739131,10,7
46,Thyatira batis,0.42857142857142855,0.6,0.5,10,6
47,Allotria elonympha,0.36363636363636365,0.4,0.38095238095238093,10,4
48,Calliteara pudibunda,0.16666666666666666,0.1,0.125,10,1
49,Catocala ilia,0.18181818181818182,0.2,0.19047619047619047,10,2
50,Halysidota harrisii,0.5,0.3,0.375,10,3
51,Hypena madefactalis,0.3,0.3,0.3,10,3
52,Mocis latipes,0.0,0.0,0.0,10,0
53,Parallelia bistriaris,0.16666666666666666,0.1,0.125,10,1
54,Plusiodonta compressipalpis,0.18181818181818182,0.2,0.19047619047619047,10,2
55,Sphrageidus similis,0.6,0.3,0.4,10,3
56,Spilosoma virginica,0.0,0.0,0.0,10,0
57,Utetheisa ornatrix,0.23076923076923078,0.3,0.2608695652173913,10,3
58,Zale horrida,0.6363636363636364,0.7,0.6666666666666666,10,7
59,Zale minerea,0.5555555555555556,0.5,0.5263157894736842,10,5
60,Dichomeris flavocostella,0.26666666666666666,0.4,0.32,10,4
61,Campaea perlata,0.4166666666666667,0.5,0.45454545454545453,10,5
62,Caripeta piniata,0.7142857142857143,0.5,0.5882352941176471,10,5
63,Chloroclystis filata,0.2857142857142857,0.2,0.23529411764705882,10,2
64,Didymoctenia exsuperata,0.7777777777777778,0.7,0.7368421052631579,10,7
65,Disclisioprocta stellata,0.45454545454545453,0.5,0.47619047619047616,10,5
66,Ectropis crepuscularia,0.5,0.6,0.5454545454545454,10,6
67,Hyposidra talaca,0.0,0.0,0.0,10,0
68,Idaea degeneraria,0.25,0.2,0.2222222222222222,10,2
69,Phrissogonus laticostata,0.0,0.0,0.0,10,0
70,Plagodis alcoolaria,0.7,0.7,0.7,10,7
71,Scopula rubraria,0.2,0.2,0.2,10,2
72,Synchlora aerata,0.6666666666666666,0.8,0.7272727272727273,10,8
73,Burnsius communis,0.42857142857142855,0.3,0.35294117647058826,10,3
