epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,6.017470414733887,0.0095,5.743681329345703,0.0172,0.0044135830173587815,88.24267339706421
2,5.5619361808776855,0.0225,5.440018698883057,0.028,0.013929396160722127,89.70439839363098
3,5.292002909851075,0.034,5.224379849243164,0.0392,0.0195970836952781,87.2540385723114
4,5.052871385192871,0.04915,5.0535277633666995,0.0544,0.03193217762125584,54.27081274986267
5,4.79801026763916,0.0716,4.882149201965332,0.0668,0.04584953448035851,51.62218379974365
6,4.55708309173584,0.09295,4.588346830749511,0.093,0.0707638160380034,51.60982322692871
7,4.333598449707031,0.1157,4.7209134765625,0.0806,0.06405695101522178,52.39190745353699
8,4.1272146606445315,0.14295,4.372296155548096,0.1232,0.09722977144891948,51.76141953468323
9,3.9297542102813723,0.16635,4.27818642501831,0.128,0.10595737855004293,52.9961359500885
10,3.74058862991333,0.19595,4.14238645324707,0.1484,0.1270592612074955,54.6301543712616
11,3.5740488006591797,0.22265,4.3087435043334965,0.1412,0.11680176383565699,89.98027753829956
12,3.410105136871338,0.2434,3.9956232772827147,0.1706,0.15509337527944644,88.28248572349548
13,3.2305516685485838,0.2713,3.8032667388916015,0.2012,0.18064783851026534,87.65956354141235
14,3.0707824783325197,0.3033,3.794008695983887,0.2054,0.18762035615885705,62.19412684440613
15,2.9338985870361327,0.32565,3.650092874145508,0.2202,0.20737930967738707,65.05801653862
16,2.7855944557189942,0.35625,3.8679990509033204,0.2046,0.1994762492889098,72.96731805801392
17,2.6539251720428467,0.3808,3.551238836669922,0.2378,0.22415775658400472,78.42612075805664
18,2.502185450363159,0.41145,3.414523900604248,0.2576,0.24562034393989063,81.02154231071472
19,2.3917004438400267,0.4344,3.468467177963257,0.2584,0.24575135160900907,76.04573917388916
20,2.2525390602111814,0.4681,3.3292573387145996,0.2762,0.26704393905988155,80.01787400245667
21,2.1178875644683837,0.49295,3.2835936714172362,0.2906,0.28104719424980873,83.61746120452881
22,2.0140742588043214,0.52055,3.1819529052734374,0.3022,0.28794153736065514,64.68986678123474
23,1.8866918964385986,0.554,3.249529490661621,0.2888,0.285127546638441,57.662466526031494
24,1.7894207241058349,0.57515,3.115502495574951,0.3102,0.3023144306279024,93.02366662025452
25,1.6960409824371339,0.6037,3.0575092765808107,0.326,0.31761975838232603,67.28986883163452
26,1.6157619338989258,0.62305,3.022239041900635,0.3266,0.3152296939197342,63.71370720863342
27,1.5472493350982666,0.6469,2.987100682067871,0.3354,0.3258090639585962,89.82913112640381
28,1.4929505859375,0.6648,2.9769064025878906,0.3394,0.33017275871087853,54.40002226829529
29,1.4630506559371947,0.67605,2.960352730560303,0.3424,0.33329833263187425,49.70035099983215
30,1.4352857418060303,0.68115,2.9651556762695312,0.3374,0.32978111578301944,50.00335955619812
