class_index,species_name,precision,recall,f1,support,correct_predictions
0,Aculepeira ceropegia,0.2,0.2,0.2,10,2
1,Araneus diadematus,0.2857142857142857,0.2,0.23529411764705882,10,2
2,Eriophora ravilla,0.3333333333333333,0.3,0.3157894736842105,10,3
3,Micrathena mitrata,0.0,0.0,0.0,10,0
4,Badumna longinqua,0.125,0.1,0.1111111111111111,10,1
5,Neriene radiata,0.15384615384615385,0.2,0.17391304347826086,10,2
6,Leucauge argyra,0.0,0.0,0.0,10,0
7,Latrodectus katipo,0.09090909090909091,0.1,0.09523809523809523,10,1
8,Synema globosum,0.26666666666666666,0.4,0.32,10,4
9,Paravaejovis puritanus,0.1,0.2,0.13333333333333333,10,2
10,Scolopendra cingulata,0.0,0.0,0.0,10,0
11,Cantharis fusca,0.2222222222222222,0.2,0.21052631578947367,10,2
12,Plectrodera scalator,0.125,0.1,0.1111111111111111,10,1
13,Cycloneda sanguinea,0.2857142857142857,0.4,0.3333333333333333,10,4
14,Anthrenus verbasci,0.2857142857142857,0.2,0.23529411764705882,10,2
15,Macrodactylus subspinosus,0.2,0.2,0.2,10,2
16,Trichiotinus texanus,0.1111111111111111,0.1,0.10526315789473684,10,1
17,Necrophila americana,0.09090909090909091,0.1,0.09523809523809523,10,1
18,Nicrophorus vespilloides,0.3888888888888889,0.7,0.5,10,7
19,Xenox tigrinus,0.125,0.1,0.1111111111111111,10,1
20,Mydas clavatus,0.2857142857142857,0.2,0.23529411764705882,10,2
21,Spilomyia longicornis,0.3,0.3,0.3,10,3
22,Hyalymenus tarsatus,0.0,0.0,0.0,10,0
23,Hormaphis hamamelidis,0.06666666666666667,0.1,0.08,10,1
24,Cercopis vulnerata,0.45454545454545453,0.5,0.47619047619047616,10,5
25,Melacoryphus lateralis,0.3333333333333333,0.2,0.25,10,2
26,Halyomorpha halys,0.1,0.2,0.13333333333333333,10,2
27,Peribalus strictus,0.2,0.1,0.13333333333333333,10,1
28,Phymata americana,0.058823529411764705,0.1,0.07407407407407407,10,1
29,Rasahus hamatus,0.4,0.4,0.4,10,4
30,Bombus fervidus,0.3333333333333333,0.5,0.4,10,5
31,Xylocopa micans,0.0,0.0,0.0,10,0
32,Bicyrtes quadrifasciatus,0.2857142857142857,0.4,0.3333333333333333,10,4
33,Amphibolips confluenta,0.2,0.2,0.2,10,2
34,Camponotus sericeiventris,0.0,0.0,0.0,10,0
35,Liometopum occidentale,0.23076923076923078,0.3,0.2608695652173913,10,3
36,Veromessor pergandei,0.2857142857142857,0.4,0.3333333333333333,10,4
37,Pachodynerus erynnis,0.2,0.2,0.2,10,2
38,Polistes chinensis,0.18181818181818182,0.2,0.19047619047619047,10,2
39,Polistes exclamans,0.0,0.0,0.0,10,0
40,Euchromius ocellea,0.16666666666666666,0.2,0.18181818181818182,10,2
41,Palpita vitrealis,0.2,0.2,0.2,10,2
42,Pyrausta inornatalis,0.375,0.3,0.3333333333333333,10,3
43,Pyrausta tyralis,0.25,0.1,0.14285714285714285,10,1
44,Urola nivalis,0.16666666666666666,0.1,0.125,10,1
45,Oreta rosea,0.5,0.6,0.5454545454545454,10,6
46,Thyatira batis,0.3333333333333333,0.1,0.15384615384615385,10,1
47,Allotria elonympha,0.5,0.3,0.375,10,3
48,Calliteara pudibunda,0.0,0.0,0.0,10,0
49,Catocala ilia,0.25,0.1,0.14285714285714285,10,1
50,Halysidota harrisii,0.1111111111111111,0.1,0.10526315789473684,10,1
51,Hypena madefactalis,0.3,0.3,0.3,10,3
52,Mocis latipes,0.2,0.2,0.2,10,2
53,Parallelia bistriaris,0.0,0.0,0.0,10,0
54,Plusiodonta compressipalpis,0.2857142857142857,0.2,0.23529411764705882,10,2
55,Sphrageidus similis,0.14285714285714285,0.1,0.11764705882352941,10,1
56,Spilosoma virginica,0.1,0.1,0.1,10,1
57,Utetheisa ornatrix,0.08333333333333333,0.1,0.09090909090909091,10,1
58,Zale horrida,0.5384615384615384,0.7,0.6086956521739131,10,7
59,Zale minerea,0.45454545454545453,0.5,0.47619047619047616,10,5
60,Dichomeris flavocostella,0.3333333333333333,0.2,0.25,10,2
61,Campaea perlata,0.4,0.2,0.26666666666666666,10,2
62,Caripeta piniata,0.5384615384615384,0.7,0.6086956521739131,10,7
63,Chloroclystis filata,0.1,0.1,0.1,10,1
64,Didymoctenia exsuperata,0.625,0.5,0.5555555555555556,10,5
65,Disclisioprocta stellata,0.18181818181818182,0.2,0.19047619047619047,10,2
66,Ectropis crepuscularia,0.4444444444444444,0.4,0.42105263157894735,10,4
67,Hyposidra talaca,0.0,0.0,0.0,10,0
68,Idaea degeneraria,0.3333333333333333,0.1,0.15384615384615385,10,1
69,Phrissogonus laticostata,0.0,0.0,0.0,10,0
70,Plagodis alcoolaria,0.4375,0.7,0.5384615384615384,10,7
71,Scopula rubraria,0.16666666666666666,0.2,0.18181818181818182,10,2
72,Synchlora aerata,0.5454545454545454,0.6,0.5714285714285714,10,6
73,Burnsius communis,0.16666666666666666,0.1,0.125,10,1
74,Pelopidas mathias,0.2222222222222222,0.2,0.21052631578947367,10,2
75,Thorybes bathyllus,0.4,0.2,0.26666666666666666,10,2
76,Tolype velleda,0.0,0.0,0.0,10,0
77,Jamides bochus,0.125,0.1,0.1111111111111111,10,1
78,Parrhasius m-album,0.0,0.0,0.0,10,0
79,Polyommatus coridon,0.2,0.3,0.24,10,3
80,Satyrium edwardsii,0.6666666666666666,0.2,0.3076923076923077,10,2
81,Satyrium liparops,0.3333333333333333,0.3,0.3157894736842105,10,3
82,Strymon istapa,0.14285714285714285,0.1,0.11764705882352941,10,1
83,Megalopyge opercularis,0.375,0.3,0.3333333333333333,10,3
84,Autographa gamma,0.3333333333333333,0.1,0.15384615384615385,10,1
85,Callopistria cordata,0.4444444444444444,0.8,0.5714285714285714,10,8
86,Cosmia calami,0.375,0.3,0.3333333333333333,10,3
87,Deltote pygarga,0.2,0.1,0.13333333333333333,10,1
88,Ichneutica mutans,0.13333333333333333,0.2,0.16,10,2
89,Marimatha nigrofimbria,0.5454545454545454,0.6,0.5714285714285714,10,6
90,Orthosia gothica,0.0,0.0,0.0,10,0
91,Papaipema inquaesita,0.38461538461538464,0.5,0.43478260869565216,10,5
92,Phlogophora periculosa,0.1111111111111111,0.1,0.10526315789473684,10,1
93,Psychomorpha epimenis,0.4166666666666667,0.5,0.45454545454545453,10,5
94,Macrurocampa marthesia,0.5,0.3,0.375,10,3
95,Pheosidea elegans,0.42857142857142855,0.3,0.35294117647058826,10,3
96,Aglais urticae,0.36363636363636365,0.4,0.38095238095238093,10,4
97,Anartia fatima,0.0,0.0,0.0,10,0
98,Asterocampa clyton,0.0,0.0,0.0,10,0
99,Boloria chariclea,0.3125,0.5,0.38461538461538464,10,5
100,Cyllopsis gemma,0.0,0.0,0.0,10,0
101,Danaus eresimus,0.5,0.6,0.5454545454545454,10,6
102,Danaus plexippus,0.21428571428571427,0.3,0.25,10,3
103,Historis odius,0.0,0.0,0.0,10,0
104,Junonia lemonias,0.5,0.2,0.2857142857142857,10,2
105,Junonia oenone,0.16666666666666666,0.1,0.125,10,1
106,Junonia villida,0.1,0.1,0.1,10,1
107,Pyronia cecilia,0.14285714285714285,0.1,0.11764705882352941,10,1
108,Tisiphone abeona,0.18181818181818182,0.2,0.19047619047619047,10,2
109,Parnassius smintheus,0.2857142857142857,0.2,0.23529411764705882,10,2
110,Abaeis nicippe,0.1111111111111111,0.1,0.10526315789473684,10,1
111,Catopsilia pomona,0.5,0.2,0.2857142857142857,10,2
112,Mylothris agathina,0.0,0.0,0.0,10,0
113,Pareronia hippia,0.3333333333333333,0.4,0.36363636363636365,10,4
114,Pyrisitia lisa,0.09090909090909091,0.1,0.09523809523809523,10,1
115,Hamearis lucina,0.2,0.2,0.2,10,2
116,Melanis cephise,0.75,0.6,0.6666666666666666,10,6
117,Saturnia pyri,0.06666666666666667,0.1,0.08,10,1
118,Synanthedon acerni,0.3333333333333333,0.3,0.3157894736842105,10,3
119,Hyles gallii,0.1,0.1,0.1,10,1
120,Syricoris lacunana,0.4444444444444444,0.4,0.42105263157894735,10,4
121,Pseudomantis albofimbriata,0.0,0.0,0.0,10,0
122,Stagmomantis carolina,0.07142857142857142,0.1,0.08333333333333333,10,1
123,Corydalus cornutus,0.0,0.0,0.0,10,0
124,Agriocnemis femina,0.3333333333333333,0.4,0.36363636363636365,10,4
125,Epitheca princeps,0.0,0.0,0.0,10,0
126,Dromogomphus spoliatus,0.25,0.2,0.2222222222222222,10,2
127,Stylogomphus albistylus,0.16666666666666666,0.1,0.125,10,1
128,Libellula axilena,0.125,0.1,0.1111111111111111,10,1
129,Orthetrum brunneum,0.0,0.0,0.0,10,0
130,Orthetrum chrysostigma,0.0,0.0,0.0,10,0
131,Pachydiplax longipennis,0.0,0.0,0.0,10,0
132,Palpopleura lucia,0.16666666666666666,0.1,0.125,10,1
133,Tramea lacerata,0.25,0.3,0.2727272727272727,10,3
134,Trithemis festiva,0.3333333333333333,0.2,0.25,10,2
135,Tachopteryx thoreyi,0.3333333333333333,0.2,0.25,10,2
136,Chrysochraon dispar,0.25,0.3,0.2727272727272727,10,3
137,Leptysma marginicollis,0.1,0.1,0.1,10,1
138,Mermiria bivittata,0.5,0.2,0.2857142857142857,10,2
139,Gryllus campestris,0.1,0.1,0.1,10,1
140,Gryllus pennsylvanicus,0.0,0.0,0.0,10,0
141,Tropidacris collaris,0.0,0.0,0.0,10,0
142,Anabrus simplex,0.0,0.0,0.0,10,0
143,Neoconocephalus triops,0.09090909090909091,0.1,0.09523809523809523,10,1
144,Cerastipsocus venosus,0.125,0.1,0.1111111111111111,10,1
145,Cancer irroratus,0.15384615384615385,0.2,0.17391304347826086,10,2
146,Leptuca pugilator,0.0625,0.1,0.07692307692307693,10,1
147,Megalops atlanticus,0.4444444444444444,0.4,0.42105263157894735,10,4
148,Lepomis gulosus,0.3333333333333333,0.2,0.25,10,2
149,Schuettea scalaripinnis,0.42857142857142855,0.6,0.5,10,6
150,Oncorhynchus mykiss,0.23076923076923078,0.3,0.2608695652173913,10,3
151,Dicotylichthys punctulatus,0.2727272727272727,0.3,0.2857142857142857,10,3
152,Diodon hystrix,0.16666666666666666,0.2,0.18181818181818182,10,2
153,Tetractenos glaber,0.1875,0.3,0.23076923076923078,10,3
154,Hyperolius marmoratus,0.0,0.0,0.0,10,0
155,Rana draytonii,0.0,0.0,0.0,10,0
156,Accipiter badius,0.1111111111111111,0.1,0.10526315789473684,10,1
157,Accipiter nisus,0.25,0.1,0.14285714285714285,10,1
158,Accipiter trivirgatus,0.2,0.1,0.13333333333333333,10,1
159,Aquila chrysaetos,0.1111111111111111,0.1,0.10526315789473684,10,1
160,Chondrohierax uncinatus,0.0,0.0,0.0,10,0
161,Circus approximans,0.0,0.0,0.0,10,0
162,Elanus axillaris,0.1111111111111111,0.1,0.10526315789473684,10,1
163,Haliastur indus,0.0,0.0,0.0,10,0
164,Branta leucopsis,0.2727272727272727,0.3,0.2857142857142857,10,3
165,Melanitta deglandi,0.0,0.0,0.0,10,0
166,Melanitta perspicillata,0.14285714285714285,0.2,0.16666666666666666,10,2
167,Netta peposaca,0.4444444444444444,0.4,0.42105263157894735,10,4
168,Spatula cyanoptera,0.625,0.5,0.5555555555555556,10,5
169,Nyctibius griseus,0.25,0.1,0.14285714285714285,10,1
170,Sarcoramphus papa,0.5,0.3,0.375,10,3
171,Burhinus grallarius,0.14285714285714285,0.1,0.11764705882352941,10,1
172,Sterna hirundo,0.25,0.3,0.2727272727272727,10,3
173,Himantopus himantopus,0.6,0.3,0.4,10,3
174,Himantopus mexicanus,0.16666666666666666,0.2,0.18181818181818182,10,2
175,Arenaria melanocephala,0.11764705882352941,0.2,0.14814814814814814,10,2
176,Calidris canutus,0.3333333333333333,0.1,0.15384615384615385,10,1
177,Calidris virgata,0.0,0.0,0.0,10,0
178,Phalaropus fulicarius,0.26666666666666666,0.4,0.32,10,4
179,Tringa melanoleuca,0.125,0.1,0.1111111111111111,10,1
180,Anastomus oscitans,0.0,0.0,0.0,10,0
181,Ciconia ciconia,0.2,0.1,0.13333333333333333,10,1
182,Mycteria leucocephala,0.6,0.3,0.4,10,3
183,Patagioenas cayennensis,0.0,0.0,0.0,10,0
184,Coracias garrulus,0.05,0.1,0.06666666666666667,10,1
185,Coccyzus americanus,0.0,0.0,0.0,10,0
186,Caracara plancus,0.10526315789473684,0.2,0.13793103448275862,10,2
187,Falco mexicanus,0.13333333333333333,0.2,0.16,10,2
188,Herpetotheres cachinnans,0.11764705882352941,0.2,0.14814814814814814,10,2
189,Galbula ruficauda,0.3333333333333333,0.4,0.36363636363636365,10,4
190,Gavia stellata,0.3333333333333333,0.2,0.25,10,2
191,Amaurornis phoenicurus,0.06666666666666667,0.1,0.08,10,1
192,Fulica armillata,0.5,0.3,0.375,10,3
193,Gerygone igata,0.0,0.0,0.0,10,0
194,Sericornis frontalis,0.0,0.0,0.0,10,0
195,Certhia americana,0.25,0.1,0.14285714285714285,10,1
196,Cisticola exilis,0.6,0.3,0.4,10,3
197,Corvus caurinus,0.18181818181818182,0.2,0.19047619047619047,10,2
198,Corvus cornix,0.0,0.0,0.0,10,0
199,Nucifraga caryocatactes,0.0,0.0,0.0,10,0
200,Carpodacus sibiricus,0.6666666666666666,0.4,0.5,10,4
201,Coccothraustes coccothraustes,0.0,0.0,0.0,10,0
202,Hirundo neoxena,0.0,0.0,0.0,10,0
203,Petrochelidon pyrrhonota,0.0,0.0,0.0,10,0
204,Dives dives,0.125,0.1,0.1111111111111111,10,1
205,Icterus chrysater,0.5833333333333334,0.7,0.6363636363636364,10,7
206,Quiscalus mexicanus,0.25,0.1,0.14285714285714285,10,1
207,Lanius excubitor,0.0,0.0,0.0,10,0
208,Acanthorhynchus tenuirostris,0.0,0.0,0.0,10,0
209,Oreoscoptes montanus,0.125,0.1,0.1111111111111111,10,1
210,Luscinia luscinia,0.25,0.2,0.2222222222222222,10,2
211,Aethopyga siparaja,0.3333333333333333,0.3,0.3157894736842105,10,3
212,Cinnyris jugularis,0.08333333333333333,0.1,0.09090909090909091,10,1
213,Hedydipna collaris,0.0,0.0,0.0,10,0
214,Leptocoma zeylonica,0.1,0.1,0.1,10,1
215,Lophophanes cristatus,0.08333333333333333,0.1,0.09090909090909091,10,1
216,Poecile hudsonicus,0.0,0.0,0.0,10,0
217,Parkesia motacilla,0.16666666666666666,0.1,0.125,10,1
218,Setophaga americana,0.14285714285714285,0.1,0.11764705882352941,10,1
219,Setophaga dominica,0.16666666666666666,0.1,0.125,10,1
220,Setophaga virens,0.07692307692307693,0.1,0.08695652173913043,10,1
221,Ammodramus savannarum,0.2727272727272727,0.3,0.2857142857142857,10,3
222,Peucaea carpalis,0.0,0.0,0.0,10,0
223,Pipilo maculatus,0.2857142857142857,0.2,0.23529411764705882,10,2
224,Pycnonotus goiavier,0.0,0.0,0.0,10,0
225,Myadestes townsendi,0.0,0.0,0.0,10,0
226,Turdus fuscater,0.2222222222222222,0.2,0.21052631578947367,10,2
227,Turdus viscivorus,0.0,0.0,0.0,10,0
228,Empidonax occidentalis,0.0,0.0,0.0,10,0
229,Myiarchus tuberculifer,0.0,0.0,0.0,10,0
230,Sayornis saya,0.08333333333333333,0.1,0.09090909090909091,10,1
231,Tyrannus savana,0.0,0.0,0.0,10,0
232,Vireo bellii,0.0,0.0,0.0,10,0
233,Vireo flavoviridis,0.0,0.0,0.0,10,0
234,Vireo huttoni,0.0,0.0,0.0,10,0
235,Vireo solitarius,0.0,0.0,0.0,10,0
236,Zosterops lateralis,0.0,0.0,0.0,10,0
237,Butorides virescens,0.1,0.2,0.13333333333333333,10,2
238,Egretta garzetta,0.4,0.4,0.4,10,4
239,Nycticorax nycticorax,0.0,0.0,0.0,10,0
240,Psilopogon haemacephalus,0.1111111111111111,0.1,0.10526315789473684,10,1
241,Picus viridis,0.1111111111111111,0.1,0.10526315789473684,10,1
242,Ara ararauna,0.16666666666666666,0.2,0.18181818181818182,10,2
243,Trichoglossus moluccanus,0.7,0.7,0.7,10,7
244,Glaucidium gnoma,0.0,0.0,0.0,10,0
245,Megascops choliba,0.0,0.0,0.0,10,0
246,Strix aluco,0.16666666666666666,0.1,0.125,10,1
247,Tyto alba,0.0,0.0,0.0,10,0
248,Struthio camelus,0.2777777777777778,0.5,0.35714285714285715,10,5
249,Anhinga anhinga,0.0,0.0,0.0,10,0
250,Phalacrocorax aristotelis,0.2,0.1,0.13333333333333333,10,1
251,Aepyceros melampus,0.16666666666666666,0.1,0.125,10,1
252,Cervus canadensis,0.0,0.0,0.0,10,0
253,Canis familiaris,0.0,0.0,0.0,10,0
254,Lycalopex culpaeus,0.0,0.0,0.0,10,0
255,Mustela nivalis,0.0,0.0,0.0,10,0
256,Trichosurus vulpecula,0.16666666666666666,0.2,0.18181818181818182,10,2
257,Ondatra zibethicus,0.07692307692307693,0.1,0.08695652173913043,10,1
258,Myocastor coypus,0.0,0.0,0.0,10,0
259,Sciurus carolinensis,0.09090909090909091,0.1,0.09523809523809523,10,1
260,Crocodylus acutus,0.1111111111111111,0.1,0.10526315789473684,10,1
261,Charina bottae,0.25,0.2,0.2222222222222222,10,2
262,Dendrelaphis punctulatus,0.0,0.0,0.0,10,0
263,Hypsiglena jani,0.13333333333333333,0.2,0.16,10,2
264,Lampropeltis gentilis,0.2857142857142857,0.4,0.3333333333333333,10,4
265,Masticophis mentovarius,0.05,0.1,0.06666666666666667,10,1
266,Regina septemvittata,0.0,0.0,0.0,10,0
267,Cordylus niger,0.0,0.0,0.0,10,0
268,Christinus marmoratus,0.0,0.0,0.0,10,0
269,Phrynosoma hernandesi,0.1875,0.3,0.23076923076923078,10,3
270,Sceloporus jarrovii,0.21428571428571427,0.3,0.25,10,3
271,Tarentola mauritanica,0.05,0.1,0.06666666666666667,10,1
