epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,6.082585814666748,0.0059,5.836530477905273,0.0128,0.0035601781272477013,56.3886981010437
2,5.678846872711182,0.01695,5.561681195831299,0.0172,0.006417082926104286,83.77201294898987
3,5.445233555603028,0.0256,5.3627846145629885,0.0278,0.01020145598597476,89.06730318069458
4,5.205299533081055,0.0388,5.114878686523437,0.0422,0.01985312328593099,87.04075956344604
5,4.958235152435303,0.0561,4.927204252624512,0.0622,0.03936658063009088,88.97900557518005
6,4.716432444000244,0.0756,4.6965791015625,0.0824,0.05634630400535792,88.33997201919556
7,4.502547747039795,0.097,4.65173849029541,0.0824,0.05988560094586152,88.07546257972717
8,4.319752363967895,0.1166,4.535183020019531,0.1096,0.08156219734293718,85.64109110832214
9,4.113630554199219,0.1409,4.243542456054688,0.1314,0.10710795661235087,52.88842034339905
10,3.952344157409668,0.16705,4.10064719619751,0.1636,0.13657614348752053,52.94228982925415
11,3.7743015426635744,0.1899,4.09416247329712,0.1634,0.1337663405304828,53.6303915977478
12,3.628537710571289,0.2075,3.966327378845215,0.1722,0.14606809026464493,53.65255379676819
13,3.470313892745972,0.2341,3.791934644317627,0.197,0.1730541964752025,89.0255184173584
14,3.3378186000823975,0.2546,3.7940598930358886,0.203,0.18625196945347527,58.52600598335266
15,3.200883422088623,0.27455,3.729031073760986,0.2044,0.1848987533868732,54.20698094367981
16,3.0698672103881837,0.298,3.6737565895080566,0.218,0.2005964220900525,53.33675265312195
17,2.9556549617767334,0.31655,3.5071305702209474,0.2356,0.21370921169013454,54.07650542259216
18,2.8335498729705813,0.33935,3.6326386978149414,0.2312,0.21268157210672728,52.539491415023804
19,2.719147614479065,0.35955,3.566867160797119,0.2434,0.22849009639479742,51.39811444282532
20,2.6108107036590575,0.3805,3.616632186126709,0.2414,0.22951214659021887,52.99770379066467
21,2.504527528190613,0.39555,3.4164174560546874,0.2646,0.25279821709554573,51.564757347106934
22,2.3856069480895994,0.42445,3.3448073471069337,0.2722,0.25450711403515236,51.44636797904968
23,2.2857117391586304,0.44285,3.377196647644043,0.2796,0.2677118713825445,50.968095779418945
24,2.1881391525268556,0.46095,3.3978070724487304,0.285,0.2725338070846851,50.66210103034973
25,2.0744446926116944,0.4872,3.3800439933776856,0.2856,0.27348308771770136,51.01219081878662
26,1.9835523853302002,0.5046,3.523025534439087,0.2744,0.26289129438154896,50.288686990737915
27,1.8896428197860717,0.5273,3.423647492980957,0.2834,0.2674023563388349,48.694658279418945
28,1.802036897468567,0.54635,3.3373281600952147,0.298,0.2862026529853042,49.37370419502258
29,1.705570802307129,0.56185,3.49854200630188,0.275,0.26510562281397887,50.17359662055969
30,1.6139389918327331,0.5875,3.3268284099578858,0.3146,0.30407838497152956,49.5308358669281
