class_index,species_name,precision,recall,f1,support,correct_predictions
0,Aculepeira ceropegia,0.45454545454545453,0.5,0.47619047619047616,10,5
1,Araneus diadematus,0.5,0.2,0.2857142857142857,10,2
2,Eriophora ravilla,0.35714285714285715,0.5,0.4166666666666667,10,5
3,Micrathena mitrata,0.25,0.3,0.2727272727272727,10,3
4,Badumna longinqua,0.375,0.3,0.3333333333333333,10,3
5,Neriene radiata,0.0,0.0,0.0,10,0
6,Leucauge argyra,0.06666666666666667,0.1,0.08,10,1
7,Latrodectus katipo,0.11764705882352941,0.2,0.14814814814814814,10,2
8,Synema globosum,0.2,0.2,0.2,10,2
9,Paravaejovis puritanus,0.0,0.0,0.0,10,0
10,Scolopendra cingulata,0.11627906976744186,0.5,0.18867924528301888,10,5
11,Cantharis fusca,0.5,0.2,0.2857142857142857,10,2
12,Plectrodera scalator,0.875,0.7,0.7777777777777778,10,7
13,Cycloneda sanguinea,0.4444444444444444,0.4,0.42105263157894735,10,4
14,Anthrenus verbasci,0.2,0.3,0.24,10,3
15,Macrodactylus subspinosus,0.4,0.2,0.26666666666666666,10,2
16,Trichiotinus texanus,0.2,0.1,0.13333333333333333,10,1
17,Necrophila americana,0.0,0.0,0.0,10,0
18,Nicrophorus vespilloides,0.2857142857142857,1.0,0.4444444444444444,10,10
19,Xenox tigrinus,0.2,0.1,0.13333333333333333,10,1
20,Mydas clavatus,0.1,0.1,0.1,10,1
21,Spilomyia longicornis,1.0,0.4,0.5714285714285714,10,4
22,Hyalymenus tarsatus,0.0,0.0,0.0,10,0
23,Hormaphis hamamelidis,0.5714285714285714,0.4,0.47058823529411764,10,4
24,Cercopis vulnerata,0.6363636363636364,0.7,0.6666666666666666,10,7
25,Melacoryphus lateralis,0.5,0.3,0.375,10,3
26,Halyomorpha halys,0.2222222222222222,0.2,0.21052631578947367,10,2
27,Peribalus strictus,0.25,0.1,0.14285714285714285,10,1
28,Phymata americana,0.2631578947368421,0.5,0.3448275862068966,10,5
29,Rasahus hamatus,0.8333333333333334,0.5,0.625,10,5
30,Bombus fervidus,1.0,0.3,0.46153846153846156,10,3
31,Xylocopa micans,0.0,0.0,0.0,10,0
32,Bicyrtes quadrifasciatus,0.6,0.6,0.6,10,6
33,Amphibolips confluenta,0.5,0.4,0.4444444444444444,10,4
34,Camponotus sericeiventris,0.0,0.0,0.0,10,0
35,Liometopum occidentale,0.2,0.6,0.3,10,6
36,Veromessor pergandei,0.42857142857142855,0.6,0.5,10,6
