true_class_index,true_species_name,predicted_class_index,predicted_species_name,count
165,Melanitta deglandi,166,Melanitta perspicillata,6
488,Vitis riparia,481,Acer pseudoplatanus,5
79,Polyommatus coridon,82,Strymon istapa,4
140,Gryllus pennsylvanicus,139,Gryllus campestris,4
177,Calidris virgata,175,Arenaria melanocephala,4
203,Petrochelidon pyrrhonota,202,Hirundo neoxena,4
314,Iris versicolor,312,Iris douglasiana,4
358,Pityopsis falcata,361,Tetraneuris linearifolia,4
455,Nymphaea alba,456,Nymphaea odorata,4
9,Paravaejovis puritanus,10,Scolopendra cingulata,3
52,Mocis latipes,51,Hypena madefactalis,3
110,Abaeis nicippe,114,Pyrisitia lisa,3
115,Hamearis lucina,99,Boloria chariclea,3
122,Stagmomantis carolina,121,Pseudomantis albofimbriata,3
134,Trithemis festiva,131,Pachydiplax longipennis,3
135,Tachopteryx thoreyi,127,Stylogomphus albistylus,3
136,Chrysochraon dispar,137,Leptysma marginicollis,3
179,Tringa melanoleuca,173,Himantopus himantopus,3
261,Charina bottae,266,Regina septemvittata,3
265,Masticophis mentovarius,266,Regina septemvittata,3
351,Leptosyne maritima,362,Thelesperma filifolium,3
412,Blackstonia perfoliata,361,Tetraneuris linearifolia,3
468,Ceanothus verrucosus,374,Lepidium latifolium,3
472,Rubus armeniacus,481,Acer pseudoplatanus,3
477,Schinus molle,490,Agathis australis,3
494,Athyrium filix-femina,495,Pteridium aquilinum,3
496,Dryopteris carthusiana,494,Athyrium filix-femina,3
0,Aculepeira ceropegia,28,Phymata americana,2
0,Aculepeira ceropegia,126,Dromogomphus spoliatus,2
1,Araneus diadematus,2,Eriophora ravilla,2
3,Micrathena mitrata,12,Plectrodera scalator,2
5,Neriene radiata,6,Leucauge argyra,2
10,Scolopendra cingulata,264,Lampropeltis gentilis,2
18,Nicrophorus vespilloides,24,Cercopis vulnerata,2
22,Hyalymenus tarsatus,15,Macrodactylus subspinosus,2
25,Melacoryphus lateralis,20,Mydas clavatus,2
28,Phymata americana,31,Xylocopa micans,2
47,Allotria elonympha,49,Catocala ilia,2
57,Utetheisa ornatrix,122,Stagmomantis carolina,2
63,Chloroclystis filata,65,Disclisioprocta stellata,2
68,Idaea degeneraria,103,Historis odius,2
69,Phrissogonus laticostata,63,Chloroclystis filata,2
69,Phrissogonus laticostata,65,Disclisioprocta stellata,2
81,Satyrium liparops,80,Satyrium edwardsii,2
83,Megalopyge opercularis,91,Papaipema inquaesita,2
88,Ichneutica mutans,94,Macrurocampa marthesia,2
90,Orthosia gothica,88,Ichneutica mutans,2
98,Asterocampa clyton,340,Adenophyllum porophylloides,2
115,Hamearis lucina,75,Thorybes bathyllus,2
128,Libellula axilena,125,Epitheca princeps,2
