model,degradation,severity_level,parameter,top1_accuracy,overall_accuracy,top5_accuracy,macro_precision,macro_recall,macro_f1,num_samples,inference_seconds,images_per_second
pretrained_resnet18_aug,clean,0,none,0.614,0.614,0.8114,0.627341643976938,0.614,0.6090605392828854,5000,86.0846467000083,58.0823665040321
pretrained_resnet18_aug,gaussian_blur,1,radius=0.5,0.5922,0.5922,0.7948,0.6162837963195177,0.5922,0.5880034209095488,5000,24.790002900001127,201.69420795024485
pretrained_resnet18_aug,gaussian_blur,2,radius=1.0,0.4958,0.4958,0.7106,0.5714587457474757,0.49579999999999996,0.4969020979768012,5000,25.665294500009622,194.81560985003017
pretrained_resnet18_aug,gaussian_blur,3,radius=1.5,0.3878,0.3878,0.6096,0.5040691400483295,0.38780000000000003,0.38734264347109304,5000,25.859198999998625,193.3547903011329
pretrained_resnet18_aug,gaussian_blur,4,radius=2.0,0.3154,0.3154,0.524,0.44623023526845257,0.31539999999999996,0.31337464221578043,5000,25.730557600036263,194.32147867611516
pretrained_resnet18_aug,gaussian_blur,5,radius=3.0,0.2076,0.2076,0.3914,0.31422873305328175,0.2076,0.20225875175649344,5000,25.40268500003731,196.82958710831775
pretrained_resnet18_aug,gaussian_noise,1,sigma=8,0.552,0.552,0.7684,0.5852389453903958,0.552,0.5484104471991905,5000,49.35535269998945,101.30613452188071
pretrained_resnet18_aug,gaussian_noise,2,sigma=16,0.4256,0.4256,0.6546,0.5290447536904347,0.42560000000000003,0.4272719414618658,5000,44.416052699962165,112.5719125419774
pretrained_resnet18_aug,gaussian_noise,3,sigma=24,0.3,0.3,0.525,0.43318650605251596,0.3,0.30287821609217064,5000,39.03616779996082,128.0863435576537
pretrained_resnet18_aug,gaussian_noise,4,sigma=32,0.2044,0.2044,0.3948,0.347140579614887,0.2044,0.20878911652386117,5000,38.86342730000615,128.65566285244248
pretrained_resnet18_aug,gaussian_noise,5,sigma=40,0.133,0.133,0.285,0.2570264030375263,0.133,0.13775171412721735,5000,38.89448670001002,128.5529241860058
pretrained_resnet18_aug,jpeg_compression,1,quality=80,0.5796,0.5796,0.787,0.6106233072139419,0.5795999999999999,0.5767285374478428,5000,27.938340199994855,178.96553496763994
pretrained_resnet18_aug,jpeg_compression,2,quality=60,0.547,0.547,0.758,0.5957749592980488,0.547,0.5457692170744215,5000,27.39775770000415,182.49668658100597
pretrained_resnet18_aug,jpeg_compression,3,quality=40,0.519,0.519,0.7346,0.582212110151632,0.519,0.5198239483116303,5000,27.612343900022097,181.07843427214445
pretrained_resnet18_aug,jpeg_compression,4,quality=20,0.4488,0.4488,0.6724,0.5401726122366513,0.4488,0.449260059689992,5000,26.848942500015255,186.22707393399793
pretrained_resnet18_aug,jpeg_compression,5,quality=10,0.289,0.289,0.5108,0.4304193016963155,0.2889999999999999,0.2935119615846908,5000,27.664652600011323,180.736048715029
pretrained_resnet18_aug,motion_blur,1,kernel_size=3,0.459,0.459,0.667,0.5644005503241618,0.459,0.46269998578293764,5000,28.566195300023537,175.03205965954731
pretrained_resnet18_aug,motion_blur,2,kernel_size=5,0.2854,0.2854,0.4882,0.432829986277077,0.2854,0.2934456523192596,5000,28.31821959995432,176.56477245511812
pretrained_resnet18_aug,motion_blur,3,kernel_size=7,0.1846,0.1846,0.3552,0.292718526221237,0.18460000000000001,0.18560633793001619,5000,30.060900899989065,166.32901377888575
pretrained_resnet18_aug,motion_blur,4,kernel_size=9,0.1302,0.1302,0.2758,0.23754158280638757,0.13019999999999998,0.12859799004475342,5000,30.837508100026753,162.14020872833308
pretrained_resnet18_aug,motion_blur,5,kernel_size=13,0.0776,0.0776,0.1882,0.1449839277121228,0.07759999999999999,0.07124301900213405,5000,32.271860699984245,154.93373767575915
scratch_resnet18_resumed,clean,0,none,0.0474,0.0474,0.172,0.0366440715801805,0.0474,0.0295312183675394,5000,20.63648380001541,242.2893380700963
scratch_resnet18_resumed,gaussian_blur,1,radius=0.5,0.0482,0.0482,0.171,0.0406644627531318,0.0482,0.03006326578857,5000,30.878088199999183,161.92712345449328
scratch_resnet18_resumed,gaussian_blur,2,radius=1.0,0.0486,0.0486,0.1622,0.0370724959694757,0.0486,0.0297485159562505,5000,30.96431999997003,161.47617645098745
